premise	hypothesis	premise_atomic	hypothesis_atomic	label
Med navijaškimi skupinami so se v finale uvrstile skupine OŠ Pivka, OŠ Domžale, OŠ Cvetka Golarja, Škofja Loka, OŠ Log - Dragomer.	V finale sta se prebili navijaški skupini OŠ Domžale in OŠ Pivka, skupine Škofja Loka, OŠ Cvetka Golarja in OŠ Log - Dragomer pa so žal zapravile svojo možnost za prvo in drugo mesto.	PersonX začne obiskovati srednjo šolo biti najboljši v svojem razredu.	skupini ne želi hoditi v šolo GPA skupini trpi	contradiction
Napisal bom ček, dvignil denar in si privoščil še eno pivo.	Šel bom po denar, ki sem si ga pošteno prislužil, in potem šel na pijačo.	osebek kupi pivo kupiti še enega.	osebek kupi pijačo da porabijo denar, ki jim ga je plačala osebek.	neutral
Potres je uničil številne zgradbe, sprožil zemeljske plazove in pretrgal dobavo električne energije.	Poplave in zemeljski plazovi so uničili pridelek in domove, veliko ljudi je izgubilo življenje.	Potres razbije telefon predmet poškoduje y	ljudi ubije otroke predmet uničiti življenja ljudi.	neutral
Ponudila sem ji še pašteto in mleko, pa tudi tega ne mara.	Šele zdaj sem doumela, kako izbirčna je pri hrani, saj ni hotela pojesti niti paštete ali kruha.	osebek je dala tudi da ne bi več dajal.	osebek ni nikoli jedla da nima težav z okusom ali teksturo	entailment
Miu se je za trenutek ustavila, da je zajela sapo.	Miu je brez prestanka želela nadaljevati pot.	Miu nekaj minut spušča vodo da bi dobili nekaj za pitje.	Miu si je vedno želela iti v iti na potovanje	contradiction
OFF: Prihodnji trije četrtkovi popoldnevi bodo v znamenju treh novih dokumentarnih oddaj iz serije KAKO ŽIVIJO SLOVENSKI GRADOVI.	Žal se nihče ne zanima za splošno stanje slovenskih gradov, kaj šele, da bi o tem poročali javnosti.	PersonX se ta teden upokojuje delati približno 30 let!	kaj ne želi, da bi kdo vedel nič	contradiction
Nazadnje dodajte žlico olja.	Jed pripravite brez olja.	osebek Preveri olje.	osebek jé meso pripravite hrano.	contradiction
V posodi s premičnim batom se bo prostornina plina pri segrevanju povečala pri nespremenjenem tlaku plina.	Če želimo povečati prostornino plina, ki je ujet v posodi s premičnim batom, za to rabimo plinski gorilnik.	PersonX poveča hitrost PersonX pritisniti na pedal za plin.	osebek potrebuje plin vzeti kanister za gorivo in ga napolniti.	neutral
Mak sejemo na stalno mesto, saj ne mara presajanja.	Mak je ena od redkih rastlin, ki ne bo več dobro uspeval, če ga prestavimo.	Mak vedno nosi kot da ne marajo sprememb.	Mak se oddaljuje posaditi nekaj rastlin	neutral
“Levo je pa to zdaj,” ji je pojasnil.	Od njega je izvedela, da je morala to iskati na desni.	to je včeraj povedala predmet To ugotovi.	osebek ve, da je bilo to narobe se iz nje nekaj nauči.	contradiction
(4) Pravico do začasnega prebivanja v Republiki Sloveniji imajo tudi zakonec in mladoletni neporočeni otroci tujca iz prvega odstavka tega člena.	Tisti, ki nima urejenega prebivalstva v Sloveniji, po zakonu nima pravice do bivanja tam, četudi je zakonec slovenski prebivalec, to velja tudi za nezakonske otroke.	zakonec je oče, ki ostaja doma imeti otroka	to živi na območju zakonu živeti tam	contradiction
Zacasno prebivalisce je vsako drugo prebivalisce, kjer se posameznik zacasno zadrzuje zaradi dela, solanja ali drugih razlogov.	Če se šolamo ali imamo stalno zaposlitev v nedomačem kraju, v katerem vsaj občasno tudi prespimo, smo dolžni prijaviti začasno prebivališče.	posameznik predčasno zapusti službo iti domov ali opravljati drugo delo.	osebek živi drugje trajno	neutral
Čez dva dni ob približno tej uri vas pridem iskat.	Kadar me kdo prosi, da ga kam peljem, temu vedno ugodim.	osebek se vozi dve uri preverite, kako jim gre.	PersonX pravi, da bi prinesel če vas prosijo, da nekaj prinesete.	neutral
Študent/ka spoznanja o zakonitostih in dejavnikih učenja smiselno uporabi v načrtovanju, izvajanju in vrednotenju raznih učnih situacij (individualnih in skupinskih).	Za oceno odlično (10) mora študentka izkazati odlično poznavanje zakonitosti in dejavnikov učenja ter te smiselno uporabiti pri praktičnem skupinskem ali individualnem pouku.	PersonX uči vidi, kako učenci uporabljajo lekcije. spretnosti	študentka uporabi dobro razume predmet. v študiji	neutral
Vsako sezono pripravimo pet premier za odrasle ter eno premiero za otroke in mladino.	Špar Theater letno organizira nove predstave, ne samo za odrasle, ampak tudi za mlajše obiskovalce, s čimer jim približa odrsko igro.	PersonX je star eno leto izdajanje otroških zvokov.	Špar kupi nov šotor ga postavi na dvorišču, da se otroci lahko igrajo.	neutral
Revija Sopotnik je namenjena potnikom, ki potujejo z vlaki Slovenskih železnic.	Ljudem v vlakih Slovenskih železnic ne preostane drugega kot gledanje skozi okno.	PersonX obožuje vlake spremlja vlake v družabnih medijih.	osebek se pelje z vlakom pogleda skozi okno.	contradiction
Če je kakšen od razlogov iz prejšnjega odstavka nastal po izdaji potne listine, pristojni organ izdano potno listino odvzame.	Obstajajo razlogi, ki v določenih primerih lahko rezultirajo v prenehanju veljavnosti zahtevanega dokumenta pri prosilcu javne storitve.	PersonX odstrani PersonX-ovo desko dobi tožbo, če organ zadane drugo osebo.	razlogi nekaj potrebuje potreben	neutral
Slovensko stalno gledališče vabi na predstavitev repertoarja za sezono 2010-2011	SSG v Trstu bo predstavilo dogodke, ki bodo sestavljali repertoar sezone 2010-2011.	gledališče si ogleda predstavo iti v gledališče	PersonX gre naslednje leto spet pogosteje videvati svojo družino.	entailment
Vztrajali boste pri pogovoru s partnerjem, ki naj bi razjasnil nekatere zadeve.	Pogovora s partnerjem, ki bi vam pomagal rešiti dileme, se boste izogibali kot hudič križa.	osebek postane zaskrbljena pogovor z osebo, ki jo zadeva, da bi rešili težave.	osebek postane zaskrbljena pogovor z osebo, ki jo zadeva, da bi rešili težave.	contradiction
Na eni zmed poslovalnic pošte v Mariboru je nekdo unovčil ponarejen bankovec za 100 evrov.	Poštna poslovalnica v Mariboru se sooča s porastom ponarejenega denarja.	nekdo najde bankovec za dvajset dolarjev zapravlja denar.	poslovalnica gre v trgovino z mobilnimi telefoni plačati račun.	neutral
»Najprej nisem vedel, da gre za pumo, ampak sem mislil, da me je napadel kak pes iz soseščine.	Takoj je zaslutil, da ga je kot plen prepoznala velika zver, podobna panterju.	pes pripeljati psa domov	zver najde želvo kot da je našel izgubljeno žival.	contradiction
Rudninske snovi ali soli pravimo vsem neorganskim sestavinam, ki so rastlinam nujno potrebne za rast in razvoj.	Komponente neorganskega izvora, ki jih rastline potrebujejo, da rastejo in se razvijajo, lahko imenujemo tudi rudninske snovi.	osebek reče karkoli rast mu pomagati	rastline čakati, da rastejo rastline.	entailment
Oh, ko vsaj ne bi bil tako luštkan, sem zastokala v mislih.	Požirala sem ga z očmi in potihem stokala, le stežka sem se mu upirala.	osebek kot da ne bi smeli toliko skrbeti.	osebek rahlo poljubi očmi zaprite oči	neutral
(2) Če je prejemnik nepismen ali če se ne more podpisati, ga podpiše vročevalec in navede datum prejema s pripombo, zakaj je podpisal prejemnika.	V primeru, da je prejemnik nepismen ali se ne zmore podpisati, se vročitve nikakor ne more izvesti.	vročevalec vročevalec mora napisati zahvalno pismo ali se zahvaliti darovalcu darila.	prejemnik prejemnik mora napisati zahvalno pismo ali se zahvaliti darovalcu darila.	contradiction
Poravnal je jermen pri torbici, ki jo je nosil na rami.	Pasek pri ramenski torbici se je obrnil okrog, zato ga je popravil.	osebek je vpletla nitko v iglo Raztrga mu hlače.	Pasek je spustila pnevmatiko da ga spremenite.	entailment
»Je tu kak javni telefon, ki bi ga lahko uporabil?«	V zadnjih časih so telefonske govorilnice nadomestili mobilni telefoni.	telefon mora nekoga poklicati imeti telefon	telefoni kupi nov mobilni telefon za zamenjavo starega telefona.	neutral
Zgodba o ustanavljanju pokrajin v Sloveniji je v zadnjih tednih doživela kar nekaj zapletov.	Pri zgodbi o ustanovitvi slovenskih pokrajin je prišlo do veliko komplikacij.	Zgodba se v zadnjem času počuti depresivno biti sam.	osebek se počuti malce krivo pojasniti, kaj se je zgodilo.	entailment
Nosil je dolgo suknjo brez ovratnika, prevezano s široko prepasico, na nogah pa je imel usnjene škornje.	Oblečen je bil v dolgo suknjo, ki ni imela ovratnika in je bila zavezana s širokim pasom, obute je imel škornje iz usnja.	osebek ima dolge lase razkošne ključavnice	osebek ima dolge lase razkošne ključavnice	entailment
Pina je 14-letno dekle, rojeno v znamenju tehtnice.	Deklica Pina je rojstni dan praznovala v začetku oktobra.	PersonX je star 14 let roditi se	PersonX je odličen dan rojstnodnevno dekle	neutral
VENDAR SORTA, KI JE PREDMET ŽLAHTNITELJSKE PRAVICE SKUPNOSTI, NE SME BITI HKRATI PREDMET ŽLAHTNITELJSKE PRAVICE PO PRAVU DRŽAVE ČLANICE IN PREDMET PATENTA.	Čeprav je vrsta že del žlahtniteljske pravice skupnosti, je po pravu države članice lahko tudi tako predmet žlahtniteljske pravice kot tudi predmet patenta.	SORTA da MORDA NE BO ŽELEL DATI Y V POSVOJITEV. v posvojitev	vrsta pridobi idejo pravu avtorske pravice za idejo.	contradiction
Delovni zvezek 1 je del didaktičnega kompleta za laboratorijsko delo Praktična kemija.	Delovni zvezek 1 je mogoče kopiti samo ločeno, ne spada v noben trenutno prodajan didaktični komplet.	del je učitelj v šoli sodelovanje v programih usposabljanja.	zvezek izda knjiga se ne proda. kot knjigo	contradiction
Obenem je študentom drugih fakultet, ki jih to zanima, omogočeno sodelovanje v predlaganem študijskem programu.	Ta študijska smer je namenjena izključno študentom ene fakultete in ni odprta za eksterne slušatelje.	PersonX študentom ponuja da bi spodbudili tudi druge.	smer je univerzitetni profesor učiti študente na fakulteti.	contradiction
Videti ni bilo niti ene luči ali kakršnegakoli prometa, premikanja ali sploh česarkoli živega.	Vse je kar vrvelo, luči je bilo toliko in bile so tako močne, da so te zaslepile, promet pa se je gibal zelo hitro in bil pri tem še glasen.	osebek ne vidi ničesar nadaljevati pot	promet je vedno tekla hitro	contradiction
Vnos vitaminov lahko pogosto povečamo preprosto tako, da pojemo več sveže hrane ter surovega sadja in zelenjave.	Če želimo biti bolj zdravi, bomo to dosegli z več vitamini, ki pa jih dobimo s sadjem in zelenjavo.	osebek uživa več zdrave hrane nakup sadja in zelenjave	osebek uživa več zelenjave doseže boljše zdravstvene rezultate.	entailment
Pozno spomladi požene mogočna kala svoje zlatorumeno betičasto socvetje, obdano s snežno belim ovršnim listom.	Mogočno kalo lahko najdemo le v zgodnji jeseni, prepoznamo pa jo po snežno belem ovršnem listu okoli zlatorumenega betičastega socvetja.	kala začne hvaležen delati	osebek pomaga samo pri prepoznavanju	contradiction
Imel je res lepe oči, star je bil približno devetnajst let.	Čeprav so bila njegova najstniška leta že za njim, je bil njegov pogled še mladosten.	osebek je pravkar končala srednjo šolo 12 let šolanja.	pogled je videti mlajši	contradiction
V nobenem od anketiranih oddelkov v sred-njih šolah ni bilo po 30 učencev, nekaj učencev pa je tisti dan v šoli tudi manjkalo.	Skupine srednješolcev so vedno imele število sodelujočih v tekočem anketiranju različno od 30, določen delež njih pa je na ta dan tudi izostal od pouka.	dan je prvi dan študija učencev nič	delež konča srednjo šolo udeležba v razredu	entailment
Iz žepa na prsih potegne škatlico cigaret, jo odpre in si eno vtakne med ustnice.	Ljudje shranjujejo cigarete na različnih mestih, preden si jih prižgejo.	osebek začne kaditi priloži cigareto k ustnicam.	PersonX nikoli več ne pije cigarete somes	neutral
Pred dolgo časa sem doživela nekaj zelo nenavadnega in takrat sem osivela.	Dosti začudenja je bilo v preteklosti, a sem se vedno pobrala.	osebek je pred kratkim obiskala doživeti nekaj drugačnega.	začudenja je bilo vedno všeč da bi tam preživeli ves svoj čas.	neutral
“Ne razumem, zakaj bi bil jaz kriv,” je rekel.	Ni mu bilo jasno, zakaj je bil krivec v mojih očeh.	jaz ne ve, kaj je bilo narobe nerazumljen	krivec ne ve, kaj je bilo narobe meni, da je krivec neumna.	entailment
Ni se pokrival z dišečo prešito odejo tako kot vi.	Ponoči je najraje, tako kot vi, zlezel pod aromatično debelo odejo.	osebek nima čistih oblačil radi počnete karkoli razen pranja perila.	osebek sinoči zaspi običajno	contradiction
Na robu jase se je mrak zgostil, videti je bilo samo drobne iskrice, ujete v živo koralno ogrodje.	Na jaso je začela padati noč, tako da se ni skoraj nič več videlo.	mrak sliši hrup nato zagleda bleščečo svetlobo.	noč danes zvečer vidi jaso nič	neutral
Bivši predsednik Milan Kučan je očitno še vedno v dobri formi, saj je na četrtem mestu (8).	Politiku Kučanu se močno poznajo leta, saj se je uvrstil na zadnje mesto.	predsednik je še vedno veljavna narediti vse, kar je prav.	PersonX se vrne v preteklost dobro, ker je spoznal preteklost.	contradiction
Tožilcu naj bi tako obljubil denar v zameno za uslugo med postopkom na sodišču, medtem pa naj bi ga prijavil protikorupcijski komisiji, še piše Pomurje.si.	Tožilci se velikokrat znajdejo v položaju, ko jim je ponujena neka vsota denarja, s katero se lahko okoristijo v zameno za protimoralno uslugo, ki lahko vpliva na odločitev sodišča.	osebek toži zameno na sodišču da bi mu pomagali pri nastopu pred sodnikom.	vsota najame odvetnika plačati denar	neutral
»In jaz sem mislila, da si ti normalna.«	Vedela sem, da si nora.	PersonX meni, da je bilo smešno normalno	osebek je bil pohlepen.	contradiction
Sodišče lahko na predlog nasprotne stranke odredi, da se vročitev opravi po pravni ali fizični osebi, ki opravlja vročanje pisanj v fizični obliki ali po varni elektronski poti kot registrirano dejavnost.	Stranka lahko sodišču sporoči, da želi vročitev pisanj po elektronski poti v varen poštni predal, katerega naslov je enakovreden naslovu prebivališča oziroma sedežu stranke.	PersonX odda moje naročilo znati pravilno sprejeti naročilo na registratorju ali računalniku.	naslov dostavi pošiljko v hišo predal poznati naslov	neutral
Presežek prihodkov nad odhodki se uporablja za opravljanje in razvoj dejavnosti.	Če bo presežek prihodkov nad odhodki visok, bo več denarja namenjeno opravljanju in razvoju dejavnosti.	Presežek prodaja uporablja dobiček v poslovne namene. po cenah	presežek poveča proizvodnjo denarja pomaga denarja pridobiti več denarja.	entailment
Plače zaposlenih, za katere ne veljajo kolektivne pogodbe ne smejo naraščati hitreje od plač, zaposlenih po kolektivni pogodbi pri delodajalcu.	Vsi zaposleni, ki v prvih 5 letih od pričetka dela podpišejo kolektivno pogodbo, so glede višanja plač na boljšem kot tisti brez pogodbe.	PersonX se pogovarja s šefom podjetja PersonX ne dobi povišanja plače.	PersonX ima odličen prvi dan zaposleni	neutral
Pristojnost Dsod v Nemčiji ureja zakon o delovnih sodiščih (Arbeitsgerichtsgesetz).	V t. i. zakonu o delovnih sodiščih (nem. Arbeitsgerichtsgesetz) so v Nemčiji urejena pooblastila Dsod.	Kadrovska zakonodaja ureja kompetentni med državami.	Kadrovska zakonodaja ureja kompetentni med državami.	entailment
Nočemo si znajti v situaciji, ko nas ne upoštevajo.	Tudi če našega mnenja ne bodo priznali, važno je, da ga izrazimo.	osebek ne pride v težave da se ne bi znašli v težavah.	PersonX se ne strinja izrazi svoje mnenje.	contradiction
Opore za paradižnike postavimo, preden posadimo rastline, da ne bi ponesreči poškodovali koreninske grude.	Paradižniki lahko sami rastejo in ne potrebujejo opore; če jo, jo namestimo, ko so že skoraj zreli, nobenega strahu ni, da bi pri tem poškodovali zemljo v globinah.	osebek seseklja zelenjavo da zelenjavo pred rezanjem operete.	strahu ustvari okolje globinah lahko hodijo po svojem novo urejenem dvorišču brez strahu, da bi se spotaknili ob neurejeno zemljo ali da bi jih ovirali nepotrebni odpadki.	contradiction
